College Name,Institution
GRAND CANYON UNIVERSITY,Other 4-Year Private
CALIFORNIA STATE UNIVERSITY - SAN BERNARDINO,Other 4-Year Public
CHABOT COLLEGE,Other 2-Year Public
THE UNIVERSITY OF ARIZONA GLOBAL CAMPUS,Other 4-Year Private
UNIVERSITY OF SOUTHERN MISSISSIPPI,Other 4-Year Public
RIVIER UNIVERSITY,Other 4-Year Private
BRYANT & STRATTON COLLEGE - SOUTHTOWNS,Bryant & Stratton College
BRYANT & STRATTON COLLEGE - MILWAUKEE WEST,Bryant & Stratton College
BRYANT & STRATTON COLLEGE-BAYSHORE,Bryant & Stratton College
BRYANT & STRATTON COLLEGE - RACINE,Bryant & Stratton College
LAKELAND UNIVERSITY,Other 4-Year Private
MILWAUKEE AREA TECH COLLEGE,MATC
UNIVERSITY OF WISCONSIN- PLATTEVILLE- RICHLAND,Other 4-Year Public
PURDUE UNIVERSITY GLOBAL,Other 4-Year Private
THE COLLEGE OF WESTCHESTER,Other 4-Year Private
WAUKESHA COUNTY TECHNICAL COLLEGE,Other 2-Year Public
NORTHEAST WISCONSIN TECHNICAL COLLEGE,Other 2-Year Public
MID-STATE TECHNICAL COLLEGE,Other 2-Year Public
GATEWAY TECHNICAL COLLEGE,Gateway
RASMUSSEN UNIVERSITY - OCALA,Other 4-Year Private
HERZING UNIVERSITY-BROOKFIELD,Other 4-Year Private
FOX VALLEY TECHNICAL COLLEGE,Other 2-Year Public
COLORADO TECHNICAL UNIVERSITY,Other 4-Year Private
UNIVERSITY OF PHOENIX,Other 4-Year Private
